time_bin,avg_turns,p90_turns,p95_turns,session_count
2548800,1.0206584893479664,1.0,1.0,1549
2552400,1.0509174311926606,1.0,1.0,2180
2556000,1.1562005277044856,2.0,2.0,1895
2559600,1.0754901960784313,1.0,2.0,4080
2563200,1.10925492816572,1.0,2.0,2993
2566800,1.8277634961439588,2.0,2.0,389
2570400,1.2787610619469028,1.0,2.0,452
2574000,1.1179661016949152,1.0,1.0,1475
2577600,1.1087737301180092,1.0,1.0,1949
2581200,1.408366533864542,1.0,2.0,502
2584800,1.2576808721506443,1.0,2.0,1009
2588400,1.1372282608695652,1.0,1.0,736
2592000,1.7886178861788617,1.0,1.0,246
2610000,292.0,292.0,292.0,1
2628000,32.333333333333336,93.0,136.0,6
2631600,1.5305719921104537,1.0,2.0,507
2635200,792.0,792.0,792.0,1
2649600,1059.0,1059.0,1059.0,1
2685600,14.0,14.0,14.0,1
2692800,1.0,1.0,1.0,1
2696400,356.0,356.0,356.0,1
2728800,1.274787535410765,1.0,1.0,353
2732400,67.42857142857143,182.20000000000016,310.5999999999997,7
2743200,1.9615384615384615,2.0,3.0,78
2746800,12.66,3.0,3.0,50
2764800,1.1009708737864077,1.0,1.0,515
2775600,14.0,14.0,14.0,1
2782800,1.0,1.0,1.0,1
2786400,21.0,21.0,21.0,1
2790000,180.0,180.0,180.0,1
2804400,1.0512129380053907,1.0,1.849999999999909,1484
2808000,1.0653526970954357,1.0,2.0,964
2811600,1.0665701881331404,1.0,1.0,691
2815200,1.3846153846153846,1.0,1.0,312
2818800,1.0510062456627343,1.0,1.0,2882
2822400,1.1563307493540051,1.0,2.0,1548
2826000,11.727272727272727,3.7000000000000064,39.14999999999998,22
2836800,1.916083916083916,1.0,2.0,143
2840400,2.118279569892473,1.0,2.0,465
2869200,4.0,4.0,4.0,1
2876400,1.5,1.9,1.95,2
2880000,169.0,169.0,169.0,1
2883600,11.0,11.0,11.0,1
2887200,1.124927028604787,1.0,1.0,1713
2890800,1.0510791366906476,1.0,1.0,5560
2894400,1.0285372181201358,1.0,1.0,5011
